Unnamed: 0,"Ogółem
Grand total",Unnamed: 2,"z podatków pośrednich
indirect tax revenue",Unnamed: 4,"z podatku od towarów i usług (VAT)
Value added tax (VAT) revenue",Unnamed: 6,"z podatku akcyzowego
excise tax revenue",Unnamed: 8,"z podatku dochodowego od osób prawnych
corporate income tax revenue",Unnamed: 10,"z podatku dochodowego od osób fizycznych
personal 
income tax revenue",Unnamed: 12,"z podatku od niektórych instytucji finansowych
On certain financial institutions tax revenue",Unnamed: 14,"z dywidend i wpłyów z zysku
dividends and income from profit revenue",Unnamed: 16,"z wpłat z zysku Narodowego Banku Polskiego
payments from profit of the National Bank of Poland revenue",Unnamed: 18,"z wpłyów z cła 
receipts from customs duties revenue",Unnamed: 20,"dochody państwowych jednostek budżetowych i inne dochody niepodatkowe  
revenue of state budgetary units and other non-tax revenue  ",Unnamed: 22,"środki z Unii Europejskiej i innych źródeł niepodlegające zwrotowi  
non-returnable funds from the European Union and other sources",Unnamed: 24,"Ogółem
Grand total.1",Unnamed: 26,"ubezpieczenia społeczne
social security contributions",Unnamed: 28,"subwencja ogólna dla jednostek samorządu terytorialnego
general subsidy for local government units",Unnamed: 30,"wydatki bieżące jednostek budżetowych
current expenditure of budgetary units",Unnamed: 32,"wydatki majątkowe
property expenditure",Unnamed: 34,"obsługa długu Skarbu Państwa
State Treasure debt service",Unnamed: 36,"środki własne 
Unii Europejskiej European Union own resources",Unnamed: 38,"współfinansowanie projektów z udziałem środków Unii Europejskiej 
co-financing of projects with the participation of the European Union funds",Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,"miliony PLN
million PLN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011 M01-06,134662.4,,88523.5,,60759.0,,27018.4,,11438.0,,17100.1,, -   ,,626.7,,6202.7,,872.7,,8135.7,,568.9,,154884.6,,42311.4,,28030.6,,26016.0,,2694.7,,16910.2,,7783.7,,6231.4,,-20222.2,,5073.0,
2011 M01-07,158348.6,,104759.5,,71913.4,,31989.7,,13249.2,,19950.6,, -   ,,1294.6,,6202.7,,1016.9,,9870.5,,612.3,,179432.2,,48585.3,,31842.4,,30263.8,,3537.5,,20513.2,,8933.3,,6837.0,,-21083.6,,5725.2,
2011 M01-08,181230.8,,120142.8,,81590.7,,37575.6,,14864.3,,23315.9,, -   ,,2444.7,,6202.7,,1180.7,,10849.8,,639.0,,201911.5,,56234.8,,35608.3,,34354.3,,4465.9,,21446.7,,9859.8,,7355.5,,-20680.7,,5806.7,
2011 M01-09,205020,,134854.0,,91117.1,,42642.1,,17035.6,,26691.7,, -   ,,4408.7,,6202.7,,1360.2,,11989.5,,688.1,,226908.5,,63474.2,,39362.8,,38523.5,,5731.6,,23846.9,,11080.3,,7854.9,,-21888.5,,7527.0,
2011 M01-10,231939.7,,152376.9,,103330.0,,47806.6,,19266.8,,30343.0,, -   ,,5872.8,,6202.7,,1550.8,,13300.5,,1038.2,,254410.1,,66393.9,,43104.1,,42972.4,,7294.6,,32431.8,,12323.0,,8628.0,,-22470.4,,8993.6,
2011 M01-11,254965.1,,168287.2,,113986.9,,52943.9,,21468.4,,34012.6,, -   ,,5899.8,,6202.7,,1745.6,,14014.1,,1147.6,,276538.5,,69090.9,,46930.1,,47749.4,,9347.5,,34769.2,,13454.6,,9237.8,,-21573.4,,9951.6,
2011 M01-12,277557.2,,180272.6,,120832.0,,57963.7,,24861.9,,38074.9,, -   ,,6122.9,,6202.7,,1923.8,,15641.3,,2071.8,,302681.6,,72351.6,,48058.1,,55339.4,,14915.1,,35956.1,,14731.1,,11401.2,,-25124.4,,15235.1,
2012 M01,26978.2,,22015.1,,16910.6,,4981.1,,464.4,,3000.5,, -   ,,-4.1,, -   ,,165.1,,1121.6,,15.0,,32280.0,,10058.1,,6851.3,,3358.2,,111.5,,5225.9,,1417.0,,1650.8,,-5301.8,,9711.6,
2012 M01-02,46248.2,,34899.1,,25384.5,,9264.6,,2584.7,,5938.7,, -   ,,-93.1,, -   ,,337.9,,2087.2,,91.8,,62763.8,,15877.8,,13702.5,,8584.0,,633.0,,7314.3,,5567.5,,2763.9,,-16515.6,,12681.3,
2012 M01-03,63520.7,,45828.0,,31708.5,,13737.7,,5330.4,,7934.2,, -   ,,-61.7,, -   ,,519.1,,3185.4,,183.0,,86489.4,,22048.6,,17583.5,,13232.2,,931.5,,8787.9,,7107.8,,4081.0,,-22968.6,,12917.2,
2012 M01-04,93890,,62565.6,,43254.8,,18806.1,,11592.7,,12664.0,, -   ,,31.3,, -   ,,676.6,,5316.8,,240.0,,118709.9,,29205.4,,21468.9,,18072.2,,1339.3,,17752.0,,8589.5,,4783.5,,-24819.9,,13952.8,
2012 M01-05,113555,,76297.1,,51752.0,,23926.9,,12896.2,,15422.4,, -   ,,163.5,, -   ,,836.0,,6393.4,,491.5,,140536.0,,35380.1,,25351.9,,22446.3,,1886.6,,18523.9,,9939.8,,5313.3,,-26981.0,,13708.9,
2012 M01-06,141720.8,,90240.5,,60436.5,,29072.1,,13636.1,,18038.0,, -   ,,988.9,, -   ,,981.8,,7635.3,,529.6,,162806.4,,41867.6,,29228.7,,26712.9,,2642.0,,19766.1,,10724.7,,5906.2,,-21085.6,,14629.1,
2012 M01-07,166065.2,,106156.2,,70776.3,,34531.7,,15404.4,,21145.5,, -   ,,2441.3,,8205.3,,1168.4,,9107.8,,588.9,,190404.0,,49164.4,,33111.7,,30993.3,,3542.6,,25069.6,,11552.0,,6483.4,,-24338.8,,15678.0,
2012 M01-08,189540.6,,121215.5,,80559.0,,39699.3,,17071.0,,24781.3,, -   ,,3905.5,,8205.3,,1331.3,,10169.4,,625.0,,212452.4,,55077.3,,37029.2,,35340.0,,4390.0,,25959.4,,12860.2,,7247.9,,-22911.8,,15752.4,
2012 M01-09,213922,,135254.3,,89601.6,,44577.5,,18869.2,,28320.2,, -   ,,6916.1,,8205.3,,1494.2,,11303.3,,935.3,,235050.8,,59550.2,,40920.1,,39733.3,,5326.0,,28590.1,,14335.2,,7845.1,,-21128.9,,16245.6,
2012 M01-10,238033.4,,151488.9,,100024.0,,50271.4,,20799.3,,32061.0,, -   ,,7052.8,,8205.3,,1671.3,,12757.1,,966.7,,272239.5,,68607.6,,45088.5,,44390.9,,6672.5,,40105.7,,15530.8,,8719.9,,-34206.1,,16772.8,
